找个附近的女人聊聊天	想找一个人聊聊天
我的充电没反应是怎么回事	充电接触异常是怎么回事
的确是没有了是吧	没有了是吧
我买了一个小笼包五块钱	十块钱能买什么
打开欢乐答题	打开欢乐欢乐答题
你有没有想我啊	Reno有没有想我
今天的天气很好哦	今天嘛天气
通话听不到声音	听不到通话声
你读几年级	你上小学几年级
我走了,	嗯我不走就不走
你好在干什么	你在做什么你在做什么
问你一下	我是问你我听听
本草纲目的作者是谁	抗美援朝纪念日是多少号
是啊我在这里啊	是啊我为什么在这里
我是什么	你觉得我是什么
你是不是人工智能的	介绍一下人工智能
你跟我说话了	你理我了
可乐我只喝可口可乐	可乐呀可乐
男朋友是我现在正需要的	我需要一个男朋友
那你是小狗	这是你的狗
西红柿炒鸡蛋怎么做	土豆的做法
今天是2020年几月几日	一过年还有几天
请帮我翻译成	请帮我介绍
几月几日万圣节	万圣节几号
缺了你这段时间我好难过	没有你的日子好难过
没事就想叫叫你	就是叫你一下而已
你是不是可以嫁给我呢	你嫁给我行不行
好奇怪啊	女生声音怎么变了
那你给我唱一首歌曲吧	给我唱一首情歌
打开QQ助手	在QQ里面
Reno4 se上市时间	Reno2上市时间
你认识我吗	你认识小胖吗
需要办理oppo账号	不需要OPPO账号怎么办
帮我查一下双色球	双色球双色球
我的闺蜜今天过生日了	她今天过生日
难不成你真的不会好好说话吗	你给我好好说话
唱首歌吧	唱一首为了谁
我的新的系统安装包下载后没法安装	下载操作系统更新我安装安装包
恐怖笑话	再来一个冷笑话
知道手机是否支持无线充电	本机是否支持无线充电？
怎么不能当我老婆啊	做我老婆好不好啊
你的生日是不是在十月六日呀	你的生日在十月六日嘛
Reno3的扬声器类型	Reno3元气版的扬声器类型
说一下你的名字	你的名字叫什么
拨打电话给姐	你的电话是多少
在你的心里能找到我的位置吗	你的心里有我吗
本手机的手机账号是多少	手机账号是多少
那你有没有男朋友啊	我能知道你谈恋爱了吗
你除了吃还会干吗	你就是个吃货
把歌关掉OK	把歌关掉
那些电视都看过了	我去看电视
今晚双色球开奖结果	七乐彩开奖结果
还是你来给我说说吧，我还真不知道	我不知道你告诉我吧
帮我订早上	帮我订个
我买了个新手机	再买我就把手机
你说你妈妈长得是什么样子	你给我说一下你母亲的样子呢
需要什么帮助吗	有什么可以帮助的吗
小游戏的轻游号怎么加	变更完成手机号码登陆游戏集合小游戏号码无法登陆进入
我怎么可能生你的气呢	我哪能生你的气呢
讲一个谐音笑话	你讲一个笑话
明天定明天五点十分	明天五点就要起床
难过就难过	失恋中,好难过
别生气啊	你不可以生气
打开摄像	嘿小布打开相机
你说他爱不爱我呢	你说他喜欢我吗
我觉得你累了	你会不会累
你不会聊天我不想和你聊了	你不会聊天
我真不想出去	我不想出去
我没钱怎么了	为什么我没有钱
出生年龄是多少呀你几几年出生的	你出生在几几年
爱我就好了	爱我就可以了
我感觉你是会说英语的	你感觉我是会说英语的
你今天想我了吗	今天你有没有想我
你是我的吗	你是我下级
我想看迪丽热巴的照片	我想看王者荣耀孙尚香
那我这还没反应呢那这怎么解释呢哟好吧	怎么没反应了
独自一人的我好无聊	我一个人很无聊
你真会哄人呢	你可真会哄人
现在流行什么	什么是现在的潮流
我现在走了多远了	我现在走了多少步了
小熊你在哪儿	你在哪儿啊
要找siri	我想去找siri
我以后怎么称呼你	你自己叫什么名字
阅读帐户名的查看方法	查看阅读账户名的方法发我下
能和你闲聊吗	你能闲聊吗
播报一下早间新闻	今天都有什么新闻
萝卜有什么功效	橘子有什么好处
我叫小宝贝	我叫小宝
你这么没用怎么办呢	你这么不争气怎么办呢
那你跟他说吧	那你要和他说一下
我有个双胞胎妹妹	我和老婆的两个双胞胎妹妹的故事
你马上给我发红包	你发红包给我
你会吃东西吗	你了解如何吃这种东西吗？
你是垃圾吗	IPHONE是什么垃圾
怎样登录微信？	录音怎么发到微信群
正经人谁谈恋爱	你恋爱过吗
我的手机丢了怎么办	我把你弄丢了怎么办
那你觉得我有钱吗	你很有钱
我不是在打篮球吗	不会打篮球
那我说你是男的可以吗	你说对你可以吗
那那个人爱不爱你	你说你爱了不该爱的人
那就好啊	我要找一个
那如果我不喜欢你呢	哼,我不喜欢你
怎么处理语音助手无法使用语音解锁	怎么可以语音解锁？
我可以把一些手机软件安装到内存卡里面去吗	帮我还原手机内存
我要听你唱歌	什么的歌唱
刚刚叫你不出来干啥呢	为什么刚才叫你你不出来
你为什么不听话	你不听话哦
你是动物呢还是人类呢	你是人还是动物
我说不出来	俺不出来的
你在和谁聊天呢	你刚刚到底在和谁说话啊
这是在家的这个是吧这玩意	这是什么玩意
小布你知道谁是范丞丞吗	你知道王一博跟肖战吗
我现在都不准备原谅你	我不原谅你
找到小可爱	可以找到
你那么高兴	感觉你今天心情不错啊
橘子吃多了会怎样	怀孕能吃洋白菜吗
找个好人就嫁了吧	找个好人就一定要嫁了
非常漂亮英文怎么说	说的漂亮
你那的天气怎么样	今天义乌天气怎么样
平行四边形的面积公式	23个声母有哪些
那你给我放一首邂逅吧	有什么好的放给我听一下
你能帮我一下吗	你娶了她这个一看能不能帮我帮我吗
我跟你说话你怎么不搭理我呀	不想跟你说话
请你吃饭	好吧来我吃你请你吃快餐
你好怂啊	你咋这么怂啊
给我唱一首悲伤逆流成河	你给我唱一首歌呗
设置个两点的闹钟	二分的闹钟
这一周有雪吗	周一欸今天
帮我来个笑话行不行	帮我们弟来个笑话行不行
故障现象录入指导	故障现象及故障原因录入指导
我刚才说了一点都不搞笑	不搞笑讲个搞笑的
你用萝莉音说话怎么样	你会用萝莉音说话吗
你的主人可爱吗	你好可爱
手机录屏的时候怎样才有声音	怎样保存视频通话的声音
放个臭屁	放个屁放个臭屁
十分叫我	三分钟之后提醒我
日本话的我爱你怎么说	你这么爱我,那你说一句我爱你
我看看你多大内存	你多大内存
清理一下内存清理一下内存	清理一下内存
你缺心眼	你太单纯了
射手座有什么爱好	天蝎座和
我是你的儿	我是你兄弟
删除三个演出	你信不信我把你删了
说实话你不是很聪明	实话说你并不机智
我的确有精神病	我有神经病
怎么把你取消	取消你需要怎么做
小欧给我找点吃的吧	小欧你给我找点吃的吧
我今天应该吃什么呢	今天吃点什么适合我
你吃稀饭吗	你吃的啥
sayhello	hello
我想跟你聊天	想和你聊天
钱包账户不开实名认证	钱包实名认证
唱一首歌曲时间	你会唱什么歌
早上八点起床怎么样	定闹钟早上八点起
你的属性是哪一种	你是什么属性的
屏幕碎屏维修要花钱吗	屏幕爆了能保修吗，要钱吗
手机启动相机不是拍照时候达到@时长为什么自动关闭	什么时候手机自动关机？
你那的天气怎么样	今天天气咋样
说太多了	不要说太多
我累了该咋办	我累了怎么办
那还挺好的	要是这样的话还不错
我时间很宝贵的	我也很贵的
你现在能干点啥	你干啥的
清明去扫墓	清明了嘛
今天的天气很好哦	今天洪江天气预报怎么样
王者荣耀里面有哪几个英雄克制吕布	王者荣耀里面最强英雄的是谁
说些什么呢我们两个	我们两个聊什么
几月几日了	元旦节放几天
好吧宽恕你了	好吧原谅你了
开始计时啊	又一天开始了
我想要王俊凯的签名照	你觉得蔡徐坤帅吗
那你知道我在想什么吗	美女你知道在想什么吗你
那你能做什么	你可以干嘛
小度把音乐关了	不小布来一首
我说的是现在	你现在是不是现在就是
一平方米等于多少平方厘米	一分米等于多少毫米
为什么没有我的名字？	为什么开机没有信号了
我现在来了	你那个我现在
手机如何扩音	如何恢复手机系统短信铃声？
如果我不给你充电你会怎么样	假设我没有给你充电你还会是现在这样吗
小布一个小时后提醒我	五十分钟后喊我
猫怎么叫	怎么叫狗怎么叫猫
我真的想当你爸爸	我当你爸爸好不好
为什么总是要跟我说话	为什么总愿意和我说话
请问你可不可以告诉我你到底是有多喜欢我呢	今天你有多喜欢我
能不能给我讲一个笑话	嗯给我讲个笑话
你晚上的睡觉时间是几点	你晚上几点睡觉呀
我是你老子	喂我是你爸爸
那你喜欢看哪个啊?	你最喜欢看什么电视剧
我为什么不需要你了	我不需要你了
放乐清综合	帮我播放内蒙古频道
年你干的多	你干了啥
比特币	日元等于多少人民币
还没反应吗	怎么没反应了
你结婚了没有	你嫁人了没有
qq飞车的歌	qq飞车
我要和你吵架	我想和你吵架
打着打	我可以打字吗
讲个笑话哦	儿童笑话
a7n小欧	OPPO A7n什么价位
打开完美校园	你很完美了
我想不想要	想不想我
端午节几月几日	七号是星期几
这么回答唉	么的回答
邯郸今天限什么号	今天北京限什么号
挺聪明的嘛	也挺聪明
来首太想念	来唱首歌
黑屏手势哪里设置手机	设置的手势体感在哪
我家也有人	我一个人在家
那你是什么星座	十一月十六是什么星座
请问3月14号是什么星座	你的星座是什么你是啥星座的
我确实想看表情雨	我想看表情雨
那你的妈妈叫什么名字	你妈妈叫什么
相册隐私忘了怎么办	我的游戏密码忘记了怎么办
我下课了	只有你不知道我下课了
打微信语音给老田	你会用语音对话吗
Reno4 Pro的参数介绍	OPPO Reno4 SE的参数介绍
你咋来了	你为什么会来呢
给我发个红包呗	微信发个红包给大辉
可以设置充电提示音吗	OPPO可以设置充电提示音吗？
我的意思是我错过你了	我的意思是我看着你在我眼前溜走了
水瓶座的今日运势	你是狮子座
我的妈妈最近心情总是不好我该怎么办	我最近心情不太好
那明天天气	几号有雪
干什么好呢	你好在干什么
那没办法了	已经是真的没办法了
那我要你有什么用	你都能干什么
把小波想念着	我想你了小波
这是啥子小军是不是傻逼	这个我不喜欢，别的有吗
我不上班	你才知道我不上班啊
今天的天气很好哦	今天余杭区天气怎么样
我来和你说再见了	天亮以后说再见
你能干点啥	你有什么技能吗
小欧助手在哪里	儿子在哪里
小欧小欧小爱喜欢你	好喜欢你
OPPO Ace2包装	OPPO Ace2
嗯我知道我很帅但是你还是要夸的	你非常帅啊我这是在夸你那
有没有上海的本地话	你有一点淘气我
你不要我了嘛	不要丢下我
你还会干嘛	他在干嘛怎么干嘛你要干嘛你要干嘛都会自动了
跟我想的一样	你和我想的没有差别
拍快手	快手给我打开
有人不喜欢你	有不喜欢你的人存在
Find X的屏幕的东西来	Find X屏幕报价
哪里发货	发货到哪里？
真的奥特曼	我是奥特曼
我要走了拜拜	我要撤了拜拜
阴历的1981年会下	学雷锋纪念日是几月几号
认识赵丽颖吗	你认识赵丽颖吗
账号能注销不	注销账号。
可是我有喜欢的人了	但是我心里已经有人了
我想姐姐了	可以姐姐
自食其果的近义词	小心翼翼的意思
打开微信发现	嘿SIRI给我打开微信
讲点笑话	我想听笑话了
手机后壳比较脏的清理方法和清理地点	手机后壳比较脏的清理方法
怀孕能吃鸿喜菇吗	怀孕能吃赤根菜吗
请问你漂亮吗	你对自己长像满意吗
说英语啦	写字的英语怎么说
重启密码多少？	访问密码多少
你说你的名字到底叫什么呢	你的名字叫什么呢
你真的是只精灵吗	你是精灵吗
你说得过去	你叫出来吗
新建联系人群组的时候最多可以弄多少个呢？	我原先的ad码是多少？
你有什么问题	你有什么事啊
你没有朋友	你有什么闺蜜啊
你好恶心呢	你为什么一定要这么恶心
好呀你说聊啥	你说聊什么吧
我是你的主人	我是不是你的主人
好喜欢呀	你稀饭我吧
小布我们来玩成语接龙	咱俩玩成语接龙
有一个人是我在想的	我在想一个人
早上六点十分闹钟	定一个一点半的闹钟
我叫爷爷	我叫我的爷爷
我跟你说话你没听见吗	怎么听不懂我说的吗
我支付宝上还有多少钱	你有多少钱啊
大夏国的首都是哪里	大夏国的首都在什么地方
我感觉你需要充电了	你感觉我需要充电了
你身材好好	你的身材好吗
怎么了小哥哥	小哥哥你怎么了
我不想搭理你了	不想跟你说话了
没回我信息	信息发送
那我摔的这样不行	我就问问都不行吗
我玩和平精英	和平精英啊
中国武术在世界上很有名吗	世界上哪个国家最强大是不是中国
你确定你没病	你没毛病吧你啊
谁给我发个信息	给我发个网站
这样很好	这样就好了
你是个怪胎吗	你是不是怪物
breeno语音唤醒失灵	OPPO A3怎么唤醒Breeno
你太厉害了吧	你也太牛逼了吧
星期天的英语	了不起的英文
我老公叫什么名字啊	你老公叫啥名字
我也喊他们	怎么喊你
我现在该	我现在空的很呢
我能嫁给王俊凯吗	可以嫁给王俊凯吗
我也不知道为什么这么懒	女朋友也不知道为什么这么懒
游戏空间被卸载了，不知道怎么下回来	不知道怎么卸载软件了
我说你叫什么名字	我叫什么名字呀
真解释的太明白也不错	我真的明白你是理解错了
oppo a32的充电接口	A32充电时间
我充电了	我之前就充了电了
reno2怎么给应用进行加密	Reno2应用加密设置方法
手机定位怎么响铃	云服务找回手机里“响铃并显示信息”功能介绍
穿什么穿什么衣服啊	今天穿什么颜色的衣服
那你穿来我看看	能不能来看看我
非宁静无以致远	王安石纵被春风吹作雪
状态栏不显示音乐图标	状态栏不显示静音图标
你那迟钝的反应	你反应太迟钝了
你好小哦	你好小你好贾维斯
我觉得你长得很丑	你长得好看吗
我好伤心好难过	我好难过伤心
所以屏幕烂了该怎么办	以后日子过得不幸福怎么办？
话说怎么可以挣到钱	怎么可以挣到钱
谁开发的你	你真的是辜负了对你的开发者的一片苦心
干嘛叫你你没出来	你怎么出来的我又没让你出来
你愿意当我朋友吗	你可以当我朋友吗
给我跪下	我让你给我跪下
我的充电器突然充不了电怎么回事啊	怎么充电线原装突然不是快充
你根本不是我的小宝贝	你不是我的小宝贝
做什么呢你	你做什么呢
红烧糖醋茄子	什么糖好吃
收不到其他软件的验证码。	我想问一下，手机为什么收不到有的验证码
可以恢复软件集合照片	可以恢复照片吗
我答应成为你的家人这个请求	我愿意成为你的家人
脑子短路了吗	是不是脑子有病
我爸爸叫啥	你知道我爸爸叫什么吗
难道你说的这个人不是我吗	难道不是我吗
驯龙高手好看吗	播放驯龙高手二
人貌似多了	人太多了
你是不知道啊	你怎么不知道呢
你干嘛嘲笑我	你在笑我吗
我们玩石头剪刀布吧	我们玩石头剪刀布
钱包支持绑定的银行卡	删除钱包绑定的银行卡
你怎么叫	为什么你叫Reno
查找手机里面的锁定屏幕功能介绍	为什么触摸手机屏幕不管用
你是不是我老公	你是不是我儿子
你怎么这么冷漠	你冷漠的点是什么
你认为你的德语可以说吗	你会德语吗
我很想在那里找到你呢	我在找你呢
我是想不想	在想我,是吗
我说我叫什么名字	我叫什么来着
他说了什么	他和你说了什么
还有什么设备可以给手机闪充充电	无限反向充电支持那些设备
我才不想你	懒得想起你
你好丑你好丑	你好丑
宝贝你在吗	你在干什么呢宝宝
你是在拒绝我吗	你是不是在拒绝我
Reno4 Pro的配色	RENO4 SE标配
成为我女朋友好吗	做我女朋友吗
你喜欢玩什么游戏啊	你喜欢玩什么游戏
搜索最近的公共厕所	兵马俑在哪里
我现在可以和你聊聊吗	你能和我聊会儿天吗
怀孕能吃豌豆吗	怀孕能吃平菇吗
为什么要读书	为什么要上学
今天的天气很好哦	今天天气怎么样会下雨呢
你不用吃饭是为了什么	为什么你不用吃饭
你知道怎么聊天吗	他们聊天吧
我不理你了	你为啥那会儿刚才我和你说话你咋不理我呢
难道你不知道我缺什么吗	你知道我缺什么吗
你真的会说话吗	会不会说话
有风没有	有没有有没有
帮我打开一下QQ	回QQ
OPPO Reno4 SE像素	OPPO Reno4 SE
游戏空间助手不出来。	手机丢了九州天空城游戏登不上了
手机运行越来越慢怎么办？	手机怎么越来越轻
你可以来看看	你可以来一段
等你三千年	千年等一回
我在发呆	别看我我再发呆
OPPO的形象是什么	OPPO是个好品牌吗
设定一个七点十分的闹钟	你早上起床了吗
明天的NBA比赛	今天的nba比赛
电视剧的错误示范	电视剧有什么低级错误
王者荣耀的装备有哪些	王者荣耀哪个英雄伤害最高
谁夸奖你了	夸奖你的人是哪个
我说话了	我说直接说话就可以了
没有想过	有没有想过
w31双耳同连	W31入耳检测
Reno屏幕	Reno4 Pro的屏幕
我很思念你小欧	小欧二哥想你了
十一月十二日提醒我	下午六点提醒我
八平方千米等于多少公顷	70000克等于多少吨
想知道你的血型是哪种	你的血型是什么
该干嘛干嘛去	该干嘛你自己不知道吗？
可不可以用QQ登	不用可可游戏中心
发微信给杨静	你把微信发个我
你怎么会在我心里	你为什么在我心里
我长大了就不想要芭比娃娃了	坐小玩具芭比唱你的
你信上帝吗	上帝被你有怀疑过吗
坚持不懈怎么写	千真万确的近义词
打开QQ小布	小布打开QQ
真喜欢你	因为你可爱所以是真的喜欢你啊
怎么样录屏	不知道密码该怎么办
刚加的颜色一样吧	一加的颜色是什么
我不稀罕你	你不让我喜欢
你那边什么天气	下周深圳天气
我是不是你永远得不到的爸爸	我不是你永远得不到的爸爸吗
你都知道哪些地理方面的冷知识	你知道我的生日吗
我是你的宝宝	你的宝宝
你怎么会在我的心里	你为什么在我心里
那已经坏掉了已经不能再用了	那也不能用了
老公给我唱了首歌	女人给我唱首歌吗
oppo find x2耳	find x2 pro大小
谢谢你安慰我	话说谢谢你安慰我
手机无法搜索达到蓝牙耳机	手机搜索不到蓝牙耳机咋办
看一看有几个	我有几个
距离2021年春节还有多少天	世界艾滋病日是哪一日
布偶猫好养吗	养布偶猫好不好
这么烦人	你怎么这么讨厌
给我我不愿听到这	你听到过哪些音乐
我就下楼了	刚才下楼是什么
那你给我唱个歌	给我唱首歌吧
你以为你是谁呀	你什么东西啊你觉得
摄像头被占用	摄像头是说被占用
操作手机录音失败	手机录音失败
要跟我一起去旅游吗	你要不要跟我去旅游
你有没有钱	二十块钱
你真的是这么想和这么做的吗	你可以这么做
端午节有什么好玩的	上头有什么好玩的
射手座的幸运数字是几	一月五日是什么星座
没人跟我聊天	一直没人跟我聊天
我要买到这套衣服	我想买这套衣服
今天的天气很好哦	今天天气啥情况
你咋不是个男孩子呢	你为什么不是小哥哥
告诉我你喜不喜欢靓仔	你喜欢靓仔吗
我觉得这个五十的意思是什么	什么意思
你咋不听话呢	你为什么不听话
手机你在哪里呀	你在哪里我的手机
你想我来	你会不会想我啊
我们是天下第一好吗	哦我们也是第一
怎么设置OPPO的提示音	OPPO怎么设置充电提示音
请你帮个忙拨打妈妈电话	我想请你帮个忙
告诉我你的配置	你是什么配置
我才知道你不了解我	你不了解
那你吃挺饱啊	你吃好了吗
r9s plus	oppo r9s plus
耳机录音	放入耳机声音
威海今天的天气	今天的天气真好啊
王者荣耀最近要出什么新英雄	王者荣耀新英雄叫什么
无锡今天的天气	今天的天气很好哦
莫非你还是一个人	你还是单身吗
k3目前多少钱	Oppo A3多少钱？
小欧是你谁	小欧是你什么人
我没说什么呀	我一句话都没说
我没夸你听不出吗	我没夸你
我唱歌水平不高	我不怎么会唱歌
涛声依旧歌曲	依旧是单身的一天
我用不好筷子	我不会用筷子
Realme手机销量怎么样	RealMe手机多少钱
来信息没有声音	干嘛信息来没有声音
r15手机系统	OPPO R15最新系统
深圳的天气今天怎么样	今天的天气很好哦
这世界上没有什么解决不了	能说出来的就不叫事了
你要不要吃米饭	中午你吃什么饭呢
我们要记住	嗯好我记住了
附近有没有好吃的	今天吃啥呀
手机听筒损坏了一定要本人亲自带机去吗	我的快递到了吗？
你能给我生个孩子吗	你给我生个孩子可以吗
这款手机怎么设置充电提示音	如何设置电量提示音
和你谈恋爱的想法我没有过	可是我不想和你谈恋爱
中国未来总统	中国总统
问你个事儿	问个问题
读一下这段话	接下来你读这段话就好啦
听听音乐	你听音乐吗
来两条冷知识	人体的冷知识
看见我了吗	看没看见我
这个手机可以隐藏应用吗。	oppo所有4g手机可以非洲使用吗
我能跟你说说话吗	可以和你说说话吗
王者荣耀里面哪个英雄最好该买哪个英雄	王者荣耀哪个英雄厉害
龙山的名字叫	叫什么名字
oppo find x2耳	find x2 pro上市
男的漂亮还是女的	你猜一下我是女的还是男的
计时一百分钟	一小时以后提醒我
农历十月份是什么星座	你的星座是什么
请问你们手机店大约分布在哪里呢？	你叫小布吗？
你是不是在叫张三	你叫我吗
开始上班	你要开始上班了呢
我可不就是你爸爸嘛	对呀我就是你爸爸
你养的宠物是什么	你养了什么宠物
有快递单号为什么查询不到物流的信息	如何查快递
水象星座	九月29日是什么星座
王一博爱我吗	王一博喜欢我吗
Reno ace充电接口	Reno4 Pro的充电接口
爱我有什么好处	为什么爱我
怎么回事儿啊	你怎么回事儿啊
oppo ace2的后盖	oppo ace2的按键
讲真的我跟你说了啊	我跟你说的
你怎么跟一个沙雕一样啊	你就是个傻吊
俗话说得好	你得好好跟我说话
你那里的	你那边那个
我有烦心事要给要向谁诉说	我有事得走了
手机充电	我手机充电
打开接听模式	帮我打开R3三
你不会进步	你不会啥呀
给我打开吃鸡游戏	你知道吃鸡这个游戏吗
我要换掉你	我为什么要换掉你
陪我玩脑筋急转弯	下一个脑筋急转弯
今天的天气很好哦	今天中山天气
我对象跑哪去了	我对象呢
就是你的妻	就是他们的妈妈的妻
我想嫁给你	你娶我吧
咱也听不懂咱也不好问	咱也听不懂咱也不好玩
我肯定帅呀	你觉得我很帅
手机为什么连蓝牙耳机声音小	为什么连上蓝牙耳机，手机还有声音
我已经在这了	我在那呢
用不用充电	充电用不用啊
这个手机有没有夜间模式	手机没有几个软件内存不够
桌面时间怎么恢复	桌面时间不见了怎么办
唱首歌吧	唱一首卡路里
请帮我截一下图	能不能帮我截下图
看什么看有啥好看的	动画电影
马云马云是谁啊	马云是谁
我要计时一分钟	四十分提醒我
请给我说一下	给我说一下
让我听听你学狗叫	给我学个狗叫
我不太喜欢	我不喜欢你
你不能把我拉黑我是你的主人	不说实话的话我就拉黑你了哦
你知道楚门的世界讲的什么吗	世界上连你都不知道的笑话
鸡腿的做法	毛血旺怎么做
我超爱你的	对你爱如海水般深沉
我来找你聊天了	我们一起唠会嗑吧
开车吗你在	你在开车吗
我是个废物	我是个垃圾
在个屁刚刚叫你几声你都不答应	刚刚你不在呢
给我一个你总是开小差的理由	给你一个我总是开小差的理由
你咋啥都不会啊那么笨	你不会啥呀
手机像素好	像素好的
是什么导致你不告诉我你的年龄	为什么不告诉我你的年龄
你是不是一个笨拙的人	你个傻气
你好会说情话呀	你好会说情话
世界上真的有查了吗	世界上所有的事情都是有答案的吗
你是啥呢	你是什么东西
可以正经一点吗	你能不能正经一点
神仙是我吗	我是神仙吗
我相当爱你	我好爱你啊
怀孕能吃玉蕈吗	怀孕能吃猪血吗
如何清理后台程序？	后台程序如何清理
闹钟响了	帮我设置早上五点的闹钟
你会毁灭地球吗	会毁灭地球吗你
我要上QQ	QQ动态
你这样的人怎么会害怕啊	你为什么要害怕呀
我现在就让你走	我们都是赶紧把你的我现在
爱或不爱	不管不爱动了
reno4屏幕价格	Reno4的屏幕
帮我搜	小布给我搜索
我没有说话一直在打字	你好像没有说话
抗美援朝的纪念日是什么	战争是什么
我觉得夏雨好看	我漂亮还是杨紫漂亮
拨打飞机电话	你的电话是多少
那你现在给我讲一个呗	你现在讲一个给我听嘛
你长什么样	你觉着自己长得如何
我见过吗	你见过我吗
oppo手机配件集合资费多少	oppo 5g a72手机多少钱
谁我都不想念	我不打给谁
好的我请你去吃饭吧	吃饭我好饿我想去
超级想把你扔掉我	我想把你扔掉
我妈妈是谁	谁是我妈妈
我想找个朋友	交个朋友呗
给我写一篇作文	作文给我写一篇谢谢
那你过来吧	一下过来
零点六时等于多少分	一吨等于多少克
你爱我们	你有多爱我
怎么把QQ文件存到文件管理里？	怎么在文件管理里移动文件
小爱好还是你好呢	小爱好还是他们女朋友好呢
用QQ发一条信息	你用qq吗
爱我你就抱抱我啊	我就想抱抱你
为什么我不可以做	为什么不可以做
那什么玩意	你知道那是什么玩意吗
定一个五点三十的闹钟	三十分钟叫我起床
十五乘以九	八乘一点二五等于多少
今年你多大啦	今年世界杯
在哪里在哪里见过你	你好像被我在哪里见到过
来陪我聊一会	我们聊会天呗
好朋友一辈子	一辈子都是好朋友
小欧微信号封了怎么解封	你的微信号
把手机运行内存清空	我手机运行内存挺小的
耳机有OPPO标志吗	OPPO耳机有弹窗吗
你难道不感觉我很聪明吗	你感觉我聪明吗
微信怎么设置	你有微信吗
你是个大笨蛋吗	你是个啥
月盛斋的维修点	4月8日琥珀大玩家狂欢日消费排行活动
搜索新闻	我要听娱乐新闻
我足够爱你	你说我爱你吗
我很好奇今天做什么	你好你好今天怎么会
你知道我生日吗	你知道我出生的时间嘛
今天的天气很好哦	今天伊宁市的天气怎么样
打电话时听不见音！用免提才听见！是啥原因？	你能讲个故事给我听吗？
是什么意思	information是什么意思
今晚有空吗	今晚有没有空
没有是真的不行	我问一下都不行吗
我就是王俊杰啦	他们的男朋友就是王俊杰啦
我特别爱你	我太爱你了
哦就是那个啊	他要找那个话筒那个光
学我说话你是不能的	你不要学我说话
帮我调明天早上六点半的闹钟	定个两点半闹钟
我要咋样	咋样啊我要
oppo a59s有小布功能吗？	a59s有护眼功能吗
你好我叫杨紫	你叫什么我叫李娜
真的别抱歉了	别抱歉了
请帮我截一下我的键盘图可以吗	帮我截下图可以吗
你也太丑了吧	你个丑八怪
给我来几首高安唱的曲子吧	给我唱首歌吧
你马上走出我的世界	你走我不要你呢
我怎么才能叫出你	我刚才怎么叫的
我觉得你会帮助我找一下的	你帮我找找
你觉得你和siri谁更好	siri比你强吗
我不喜欢歌是真的	我不喜欢歌
怎么把屏幕拉小	怎么关掉屏幕补光
想看迪丽热巴的丑照	你觉得迪丽热巴好看
我要你说话	我要你讲话
我要出去	出去玩了我要
西安限行尾号	今天天津限号
OPPO Watch上市	OPPO Watch
给我看你的照片	我想看看王俊凯的照片
黄桃没熟	饭还没有熟啊
请问你知道我是谁吗	你说我是谁
我不是不是不是	嗯不去
别生气啊	你可别生气
你是不是喜欢小红	你喜欢小红吗
那你给我一个	你好麻烦你给我
手机没有录音怎么办	手机录屏没有声音怎么办
介绍一下R15梦境版和realme最新款哪个性能更好	R11和机型哪个更好
你知道怎么聊天吗	五二零他们聊天
我想知道打你的是哪个人	你想知道打我的是哪个人
我是男的	我是男生呀
给我讲个故事吧	你给我讲个笑话呗
那你现在在哪里呀	你现在的位置在哪
a8 上支持分屏	A8支持息屏时钟吗
你记住我了吗	你对我有印象了吗
手机进水用什么方法	手机摄像头磨花使用哪些方法处理
现在应该也没有	应该没有
我问你唱歌会吗	我问你会不会唱歌
reno3 pro多少w充电	reno3 pro的电量消耗很快
是真的可爱	好可爱哟
语音播报短信	语音播报怎么不报时
请给我打开作业帮	打开软件助手
就喜欢骂你	你是不是有病呀
你可以做些什么呢	你可以做些什么
说话说得不好听	说不好听
怀孕能吃韭菜吗	怀孕能吃落葵吗
我的儿子	我儿子的儿子
淮南天气	你那的天气怎么样
文字笑话	再听一个笑话
我不跟你走	你还不走
你一直都在吗	一直在晚上
给我背一首诗吧	你是不是可以给我背一首诗
没关系,谁叫我们是朋友	是他是他就是他我们的朋友小姨妈
没说什么啊我也	我没说什么
没事了你退下吧	没事了你可以退下了
明天是农历	今天是十一月几日
申通电话	小林的电话
你认为这样可以吗	你觉得呢
你的声音可以变成女生吗	你的声音可以变成可爱的女生吗
求求你了吗	求求你了
小布馒头怎么蒸	启动菜谱大全红烧肉怎么吃
x50 pro	find x 升级coloros 5.2
要不你有男朋友吗	不你有男朋友吗
邵武今天什么天气	你那的天气怎么样
我不喜欢你喜欢我	你不喜欢我喜欢你
没办法我就是想臭死你	我想臭死你
那你吃屁吗	你是屁吗
有什么好看的综艺	好看的综艺
进入支付宝转账	支付宝转账有限额设置的
查找小司资料	小资料
我是男的还是女的	我是男的是女的
太无趣了吧你	你太死板了
如何删除预装软件	如何删除安装包
因为我真的很喜欢你呀	因为我喜欢你呀
我要听创新者	你觉得我要你好不好听
也不能说谁	不能和别人说
老不要脸了你	你真臭不要脸
oppo a73 ota	OPPO A30
那我就拜托给你啦	请您拜托给我
我会不会很无聊啊	她们外婆会不会很无聊啊
五百毫升等于多少斤	一公顷等于多少
你连聊天都不会	你又不会聊天
你好，我的手机老是黑屏是怎么回事，购买还不够30天，能不能换啊	为什么我的手机30秒还不息屏
你真没有用	你屁用都没有
